record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,EEEI,EE,I,IAM,1,10870,RW06,N59155240,E024135640,0620,N59152650,E024110860,0955,,0851,0000,300,E0090,52,00100,,,,,S,Simulation application continuation,U  N,,,13797,2102,SEEUP EEEIEEIIAM 1   110870RW06 N59155240E0241356400620N59152650E0241108600955 08510000300E00905200100                     ,SEEUP EEEIEEIIAM 1   2S    U  N                    07100N                              140                                 
S,EEU,P,EEEI,EE,I,IGO,1,10870,RW24,N59151670,E024103780,2420,N59155030,E024132100,0962,,0851,0000,300,E0090,51,00100,,,,,S,Simulation application continuation,U  N,,,13799,2102,SEEUP EEEIEEIIGO 1   110870RW24 N59151670E0241037802420N59155030E0241321000962 08510000300E00905100100                     ,SEEUP EEEIEEIIGO 1   2S    U  N                    25100N                              140                                 
S,EEU,P,EEKE,EE,I,IWA,1,10990,RW17,N58131930,E022303460,1720,N58141790,E022302700,0381,,0972,0500,300,E0080,54,00100,,,,,S,Simulation application continuation,U  N,,,13960,2102,SEEUP EEKEEEIIWA 1   110990RW17 N58131930E0223034601720N58141790E0223027000381 09720500300E00805400100                     ,SEEUP EEKEEEIIWA 1   2S    U  N                    18000N                              140                                 
S,EEU,P,EETN,EE,I,IIB,2,10830,RW08,N59244740,E024522330,0810,N59244500,E024485680,1105,,1033,0500,300,E0090,54,00200,,,,,S,Simulation application continuation,U  N,,,14283,2111,SEEUP EETNEEIIIB 2   110830RW08 N59244740E0245223300810N59244500E0244856801105 10330500300E00905400200                     ,SEEUP EETNEEIIIB 2   2S    U  N                    09000N                              140                                 
S,EEU,P,EETN,EE,I,ILK,2,10930,RW26,N59244800,E024480460,2610,N59244360,E024514040,0866,,1094,0500,300,E0090,54,00200,,,,,S,Simulation application continuation,U  N,,,14285,2103,SEEUP EETNEEIILK 2   110930RW26 N59244800E0244804602610N59244360E0245140400866 10940500300E00905400200                     ,SEEUP EETNEEIILK 2   2S    U  N                    27000N                              140                                 
S,EEU,P,EETU,EE,I,IUM,1,10850,RW26,N58182550,E026394890,2590,N58182370,E026415110,1516,,0911,0000,300,E0100,54,00300,,,,,S,Simulation application continuation,U  N,,,14438,1913,SEEUP EETUEEIIUM 1   110850RW26 N58182550E0263948902590N58182370E0264151101516 09110000300E01005400300                     ,SEEUP EETUEEIIUM 1   2S    U  N                    26900N                              140                                 
S,EEU,P,EPBY,EP,I,BYD,1,10910,RW26,N53054100,E017571050,2560,N53054900,E017593170,1391,,0972,0000,300,E0060,49,00300,,,,,S,Simulation application continuation,U  N,,,14660,2407,SEEUP EPBYEPIBYD 1   110910RW26 N53054100E0175710502560N53054900E0175931701391 09720000300E00604900300                     ,SEEUP EPBYEPIBYD 1   2S    U  N                    26200N                              140                                 
S,EEU,P,EPCE,EP,I,ICE,1,11130,RW25,N54244570,E017441990,2500,N54250170,E017463840,1260,,1094,0000,300,E0060,50,00506,,,,,S,Simulation application continuation,U  N,,,14795,2503,SEEUP EPCEEPIICE 1   111130RW25 N54244570E0174419902500N54250170E0174638401260 10940000300E00605000506                     ,SEEUP EPCEEPIICE 1   2S    U  N                    25600N                              140                                 
S,EEU,P,EPDE,EP,I,IDN,1,10910,RW30,N51333260,E021521460,2950,N51325220,E021541620,1559,,1033,0500,300,E0060,53,00391,,,,,S,Simulation application continuation,U  N,,,14995,2210,SEEUP EPDEEPIIDN 1   110910RW30 N51333260E0215214602950N51325220E0215416201559 10330500300E00605300391                     ,SEEUP EPDEEPIIDN 1   2S    U  N                    30100N                              140                                 
S,EEU,P,EPGD,EP,I,IGDA,3,11030,RW29,N54225630,E018264930,2860,N54221780,E018290830,1162,,1215,0500,300,E0070,53,00500,,,,,S,Simulation application continuation,U  N,,,15277,2510,SEEUP EPGDEPIIGDA3   111030RW29 N54225630E0182649302860N54221780E0182908301162 12150500300E00705300500                     ,SEEUP EPGDEPIIGDA3   2S    U  N                    29300N                              140                                 
S,EEU,P,EPKK,EP,I,KRW,1,11030,RW25,N50042970,E019455290,2520,N50045000,E019474290,0853,,0972,0000,300,E0060,50,00800,,,,,S,Simulation application continuation,U  N,,,15843,2412,SEEUP EPKKEPIKRW 1   111030RW25 N50042970E0194552902520N50045000E0194742900853 09720000300E00605000800                     ,SEEUP EPKKEPIKRW 1   2S    U  N                    25800N                              140                                 
S,EEU,P,EPKS,EP,I,IKS,1,11190,RW29,N52202200,E016563610,2930,N52194490,E016584450,1794,,1154,0500,300,E0050,50,00274,,,,,S,Simulation application continuation,U  N,,,16059,2105,SEEUP EPKSEPIIKS 1   111190RW29 N52202200E0165636102930N52194490E0165844501794 11540500300E00505000274                     ,SEEUP EPKSEPIIKS 1   2S    U  N                    29800N                              140                                 
S,EEU,P,EPKT,EP,I,IKTO,2,10990,RW26,N50283380,E019032030,2640,N50283740,E019054280,0915,,1154,0000,300,E0060,52,01000,,,,,S,Simulation application continuation,U  N,,,16436,2412,SEEUP EPKTEPIIKTO2   110990RW26 N50283380E0190320302640N50283740E0190542800915 11540000300E00605201000                     ,SEEUP EPKTEPIIKTO2   2S    U  N                    27000N                              140                                 
S,EEU,P,EPLB,EP,I,ISWI,2,11195,RW25,N51141350,E022413130,2510,N51143530,E022433430,0919,,1033,0500,300,E0060,58,00700,,,,,S,Simulation application continuation,U  N,,,16641,2101,SEEUP EPLBEPIISWI2   111195RW25 N51141350E0224131302510N51143530E0224334300919 10330500300E00605800700                     ,SEEUP EPLBEPIISWI2   2S    U  N                    25700N                              140                                 
S,EEU,P,EPLK,EP,I,IAS,1,11090,RW28,N51332210,E019092230,2810,N51324820,E019115310,1353,,1094,0000,300,E0060,50,00631,,,,,S,Simulation application continuation,U  N,,,16719,2402,SEEUP EPLKEPIIAS 1   111090RW28 N51332210E0190922302810N51324820E0191153101353 10940000300E00605000631                     ,SEEUP EPLKEPIIAS 1   2S    U  N                    28700N                              140                                 
S,EEU,P,EPLK,EP,I,LSK,1,10870,RW10,N51324630,E019122530,1010,N51331100,E019095540,0929,,0972,0000,300,E0060,53,00618,,,,,S,Simulation application continuation,U  N,,,16721,2402,SEEUP EPLKEPILSK 1   110870RW10 N51324630E0191225301010N51331100E0190955400929 09720000300E00605300618                     ,SEEUP EPLKEPILSK 1   2S    U  N                    10700N                              140                                 
S,EEU,P,EPLL,EP,I,LOD,1,11050,RW25,N51425590,E019220840,2450,N51432480,E019240160,0766,,1276,0000,300,E0060,50,00600,,,,,S,Simulation application continuation,U  N,,,16905,1907,SEEUP EPLLEPILOD 1   111050RW25 N51425590E0192208402450N51432480E0192401600766 12760000300E00605000600                     ,SEEUP EPLLEPILOD 1   2S    U  N                    25100N                              140                                 
S,EEU,P,EPMB,EP,I,IMB,1,11050,RW25,N54012610,E019064440,2520,N54013730,E019085910,0999,,1094,0500,300,E0070,50,00018,,,,,S,Simulation application continuation,U  N,,,17095,2107,SEEUP EPMBEPIIMB 1   111050RW25 N54012610E0190644402520N54013730E0190859100999 10940500300E00705000018                     ,SEEUP EPMBEPIIMB 1   2S    U  N                    25900N                              140                                 
S,EEU,P,EPMI,EP,I,IMI,1,11090,RW30,N53241490,E016033910,3000,N53232250,E016053300,1739,,1215,0500,300,E0050,52,00600,,,,,S,Simulation application continuation,U  N,,,17143,1609,SEEUP EPMIEPIIMI 1   111090RW30 N53241490E0160339103000N53232250E0160533001739 12150500300E00505200600                     ,SEEUP EPMIEPIIMI 1   2S    U  N                    30500N                              140                                 
S,EEU,P,EPMM,EP,I,IMM,1,11130,RW26,N52114420,E021374800,2640,N52113970,E021400800,1710,,1154,0500,300,E0060,50,00600,,,,,S,Simulation application continuation,U  N,,,17224,1710,SEEUP EPMMEPIIMM 1   111130RW26 N52114420E0213748002640N52113970E0214008001710 11540500300E00605000600                     ,SEEUP EPMMEPIIMM 1   2S    U  N                    27000N                              140                                 
S,EEU,P,EPMO,EP,I,IMDX,2,10830,RW08,N52271200,E020402730,0760,N52265580,E020382010,0951,,1093,0000,300,E0050,56,00300,,,,,S,Simulation application continuation,U  N,,,17542,1601,SEEUP EPMOEPIIMDX2   110830RW08 N52271200E0204027300760N52265580E0203820100951 10930000300E00505600300                     ,SEEUP EPMOEPIIMDX2   2S    U  N                    08100N                              140                                 
S,EEU,P,EPOK,EP,I,IOW,1,10950,RW31,N54352240,E018300310,3100,N54342200,E018313320,0904,,1033,0500,300,E0060,50,00100,,,,,S,Simulation application continuation,U  N,,,17690,2404,SEEUP EPOKEPIIOW 1   110950RW31 N54352240E0183003103100N54342200E0183133200904 10330500300E00605000100                     ,SEEUP EPOKEPIIOW 1   2S    U  N                    31600N                              140                                 
S,EEU,P,EPPO,EP,I,POZ,2,11030,RW28,N52253300,E016480520,2820,N52251230,E016501510,1067,,0972,0000,300,E0060,50,00288,,,,,S,Simulation application continuation,U  N,,,18072,2412,SEEUP EPPOEPIPOZ 2   111030RW28 N52253300E0164805202820N52251230E0165015101067 09720000300E00605000288                     ,SEEUP EPPOEPIPOZ 2   2S    U  N                    28800N                              140                                 
S,EEU,P,EPPW,EP,I,IPDZ,1,10815,RW10R,N52222110,E017531060,1020,N52230220,E017495760,2232,,1094,0500,300,E0050,56,00400,,,,,S,Simulation application continuation,U  U,,,18243,2104,SEEUP EPPWEPIIPDZ1   110815RW10RN52222110E0175310601020N52230220E0174957602232 10940500300E00505600400                     ,SEEUP EPPWEPIIPDZ1   2S    U  U                    10700N                              140                                 
S,EEU,P,EPPW,EP,I,IPW,1,11110,RW28L,N52230850,E017490320,2820,N52223450,E017522220,2328,,1033,0500,300,E0050,54,00400,,,,,S,Simulation application continuation,U  U,,,18245,2103,SEEUP EPPWEPIIPW 1   111110RW28LN52230850E0174903202820N52223450E0175222202328 10330500300E00505400400                     ,SEEUP EPPWEPIIPW 1   2S    U  U                    28700N                              140                                 
S,EEU,P,EPRA,EP,I,IRDM,1,11035,RW25,N51230890,E021113660,2480,N51232620,E021134420,1001,,0911,0500,320,E0070,54,00600,,,,,S,Simulation application continuation,U  N,,,18397,2304,SEEUP EPRAEPIIRDM1   111035RW25 N51230890E0211136602480N51232620E0211344201001 09110500320E00705400600                     ,SEEUP EPRAEPIIRDM1   2S    U  N                    25500N                              140                                 
S,EEU,P,EPRZ,EP,I,RZW,2,11030,RW27,N50063700,E021594390,2640,N50063090,E022022890,1410,,1094,0000,300,E0070,52,00700,,,,,S,Simulation application continuation,U  N,,,18662,2109,SEEUP EPRZEPIRZW 2   111030RW27 N50063700E0215943902640N50063090E0220228901410 10940000300E00705200700                     ,SEEUP EPRZEPIRZW 2   2S    U  N                    27100N                              140                                 
S,EEU,P,EPSC,EP,I,SZC,1,11050,RW31,N53353990,E014530020,3060,N53344200,E014544180,1303,,1033,0500,300,E0050,50,00156,,,,,S,Simulation application continuation,U  N,,,18789,2409,SEEUP EPSCEPISZC 1   111050RW31 N53353990E0145300203060N53344200E0145441801303 10330500300E00505000156                     ,SEEUP EPSCEPISZC 1   2S    U  N                    31100N                              140                                 
S,EEU,P,EPSN,EP,I,ISN,1,11155,RW29,N53474600,E015480660,2860,N53471930,E015502360,1567,,1094,0500,300,E0050,50,00400,,,,,S,Simulation application continuation,U  N,,,18855,2304,SEEUP EPSNEPIISN 1   111155RW29 N53474600E0154806602860N53471930E0155023601567 10940500300E00505000400                     ,SEEUP EPSNEPIISN 1   2S    U  N                    29100N                              140                                 
S,EEU,P,EPSY,EP,I,SZY,2,10810,RW01,N53294200,E020564220,0120,N53282770,E020555370,0955,,1094,0500,300,E0060,53,00500,,,,,S,Simulation application continuation,U  N,,,18988,2409,SEEUP EPSYEPISZY 2   110810RW01 N53294200E0205642200120N53282770E0205553700955 10940500300E00605300500                     ,SEEUP EPSYEPISZY 2   2S    U  N                    01800N                              140                                 
S,EEU,P,EPWA,EP,I,WA,3,11030,RW33,N52105000,E020571500,3260,N52092440,E020582270,0820,,1094,0000,300,E0060,54,00400,,,,,S,Simulation application continuation,U  N,,,19721,2108,SEEUP EPWAEPIWA  3   111030RW33 N52105000E0205715003260N52092440E0205822700820 10940000300E00605400400                     ,SEEUP EPWAEPIWA  3   2S    U  N                    33200N                              140                                 
S,EEU,P,EPWA,EP,I,WAS,2,10990,RW11,N52093820,E020590750,1080,N52101620,E020570590,0365,,1033,0000,300,E0060,53,00400,,,,,S,Simulation application continuation,U  N,,,19723,2108,SEEUP EPWAEPIWAS 2   110990RW11 N52093820E0205907501080N52101620E0205705900365 10330000300E00605300400                     ,SEEUP EPWAEPIWAS 2   2S    U  N                    11400N                              140                                 
S,EEU,P,EPWR,EP,I,WRO,2,11030,RW29,N51063740,E016513850,2910,N51055620,E016533510,1313,,1004,0500,300,E0050,50,00400,,,,,S,Simulation application continuation,U  N,,,20001,2407,SEEUP EPWREPIWRO 2   111030RW29 N51063740E0165138502910N51055620E0165335101313 10040500300E00505000400                     ,SEEUP EPWREPIWRO 2   2S    U  N                    29600N                              140                                 
S,EEU,P,EPZG,EP,I,IZGA,1,11130,RW24,N52075730,E015464160,2400,N52082800,E015484230,0952,,1033,0500,300,E0050,52,00200,,,,,S,Simulation application continuation,U  U,,,20147,2205,SEEUP EPZGEPIIZGA1   111130RW24 N52075730E0154641602400N52082800E0154842300952 10330500300E00505200200                     ,SEEUP EPZGEPIIZGA1   2S    U  U                    24500N                              140                                 
S,EEU,P,EVGA,EV,I,LDE,1,11150,RW18,N56455350,E024510240,1790,N56471460,E024511350,1118,,1094,0500,300,E0080,50,00207,,,,,S,Simulation application continuation,U  U,,,20273,2109,SEEUP EVGAEVILDE 1   111150RW18 N56455350E0245102401790N56471460E0245113501118 10940500300E00805000207                     ,SEEUP EVGAEVILDE 1   2S    U  U                    18700N                              140                                 
S,EEU,P,EVLA,EV,I,LPJ,1,10855,RW24,N56304330,E021040990,2410,N56311420,E021062450,2646,,1033,0500,300,E0090,50,00018,,,,,S,Simulation application continuation,U  N,,,20430,2311,SEEUP EVLAEVILPJ 1   110855RW24 N56304330E0210409902410N56311420E0210624502646 10330500300E00905000018                     ,SEEUP EVLAEVILPJ 1   2S    U  N                    25000N                              140                                 
S,EEU,P,EVRA,EV,I,IRP,2,10810,RW36,N56562490,E023582620,3550,N56543320,E023580060,1901,,0972,0000,300,E0100,52,00100,,,,,S,Simulation application continuation,U  N,,,21118,2205,SEEUP EVRAEVIIRP 2   110810RW36 N56562490E0235826203550N56543320E0235800601901 09720000300E01005200100                     ,SEEUP EVRAEVIIRP 2   2S    U  N                    00500N                              140                                 
S,EEU,P,EVRA,EV,I,IRV,2,11110,RW18,N56540430,E023580300,1750,N56555630,E023581430,1928,,1033,0000,300,E0100,52,00100,,,,,S,Simulation application continuation,U  N,,,21120,2205,SEEUP EVRAEVIIRV 2   111110RW18 N56540430E0235803001750N56555630E0235814301928 10330000300E01005200100                     ,SEEUP EVRAEVIIRV 2   2S    U  N                    18500N                              140                                 
S,EEU,P,EYKA,EY,I,IKM,1,10950,RW08,N54575525,E024064906,0780,N54574280,E024040840,0755,,0972,0000,300,E0080,51,00300,,,,,S,Simulation application continuation,U  N,,,21506,2509,SEEUP EYKAEYIIKM 1   110950RW08 N54575525E0240649060780N54574280E0240408400755 09720000300E00805100300                     ,SEEUP EYKAEYIIKM 1   2S    U  N                    08600N                              140                                 
S,EEU,P,EYKA,EY,I,ISE,2,10990,RW26,N54574497,E024032154,2580,N54574900,E024060010,0744,,1154,0000,300,E0080,52,00300,,,,,S,Simulation application continuation,U  N,,,21508,2509,SEEUP EYKAEYIISE 2   110990RW26 N54574497E0240321542580N54574900E0240600100744 11540000300E00805200300                     ,SEEUP EYKAEYIISE 2   2S    U  N                    26600Y                              140                                 
S,EEU,P,EYPA,EY,I,IAN,1,11010,RW19,N55573580,E021051860,1870,N55584380,E021055370,1185,,0972,0000,300,E0060,54,00100,,,,,S,Simulation application continuation,U  N,,,21847,2108,SEEUP EYPAEYIIAN 1   111010RW19 N55573580E0210518601870N55584380E0210553701185 09720000300E00605400100                     ,SEEUP EYPAEYIIAN 1   2S    U  N                    19300N                              140                                 
S,EEU,P,EYSA,EY,I,IDL,1,10870,RW32R,N55543450,E023223430,3160,N55530110,E023243470,1175,,0972,0000,300,E0100,51,00500,,,,,S,Simulation application continuation,U  N,,,22291,2203,SEEUP EYSAEYIIDL 1   110870RW32RN55543450E0232234303160N55530110E0232434701175 09720000300E01005100500                     ,SEEUP EYSAEYIIDL 1   2S    U  N                    32600N                              140                                 
S,EEU,P,EYSA,EY,I,ISZ,1,10830,RW14L,N55524070,E023245020,1360,N55541820,E023230240,1246,,1094,0000,300,E0100,55,00500,,,,,S,Simulation application continuation,U  N,,,22293,2203,SEEUP EYSAEYIISZ 1   110830RW14LN55524070E0232450201360N55541820E0232302401246 10940000300E01005500500                     ,SEEUP EYSAEYIISZ 1   2S    U  N                    14600N                              140                                 
S,EEU,P,EYVI,EY,I,IAV,2,11050,RW01,N54385500,E025174490,0140,N54373370,E025165580,1561,,1094,0000,300,E0080,50,00600,,,,,S,Simulation application continuation,U  N,,,22663,1710,SEEUP EYVIEYIIAV 2   111050RW01 N54385500E0251744900140N54373370E0251655801561 10940000300E00805000600                     ,SEEUP EYVIEYIIAV 2   2S    U  N                    02200N                              140                                 
S,EEU,P,EYVI,EY,I,IBK,1,10910,RW19,N54365940,E025162480,1940,N54382900,E025173420,2828,,1094,0000,300,E0080,51,00700,,,,,S,Simulation application continuation,U  N,,,22665,1710,SEEUP EYVIEYIIBK 1   110910RW19 N54365940E0251624801940N54382900E0251734202828 10940000300E00805100700                     ,SEEUP EYVIEYIIBK 1   2S    U  N                    20200N                              140                                 
S,EEU,P,LBBG,LB,I,IBG,1,11030,RW22,N42332610,E027295350,2190,N42343990,E027313850,1313,,0972,0500,300,E0060,50,00100,,,,,S,Simulation application continuation,U  N,,,23065,2111,SEEUP LBBGLBIIBG 1   111030RW22 N42332610E0272953502190N42343990E0273138501313 09720500300E00605000100                     ,SEEUP LBBGLBIIBG 1   2S    U  N                    22500N                              140                                 
S,EEU,P,LBPD,LB,I,IPD,1,10990,RW30,N42043470,E024500930,3010,N42034950,E024513760,1004,,1154,0000,300,E0060,53,00604,,,,,S,Simulation application continuation,U  N,,,23616,2505,SEEUP LBPDLBIIPD 1   110990RW30 N42043470E0245009303010N42034950E0245137601004 11540000300E00605300604                     ,SEEUP LBPDLBIIPD 1   2S    U  N                    30700N                              140                                 
S,EEU,P,LBSF,LB,I,ISF,3,10950,RW27,N42415260,E023233210,2690,N42414710,E023260890,0995,,1094,0000,300,E0050,50,01800,,,,,S,Simulation application continuation,U  N,,,24118,2505,SEEUP LBSFLBIISF 3   110950RW27 N42415260E0232332102690N42414710E0232608900995 10940000300E00505001800                     ,SEEUP LBSFLBIISF 3   2S    U  N                    27400N                              140                                 
S,EEU,P,LBSF,LB,I,ISL,1,11070,RW09,N42414160,E023263590,0890,N42415410,E023241300,0967,,1033,0000,300,E0050,50,01800,,,,,S,Simulation application continuation,U  N,,,24120,2505,SEEUP LBSFLBIISL 1   111070RW09 N42414160E0232635900890N42415410E0232413000967 10330000300E00505001800                     ,SEEUP LBSFLBIISL 1   2S    U  N                    09400N                              140                                 
S,EEU,P,LBWN,LB,I,IWN,1,10990,RW09,N43134920,E027503580,0910,N43140280,E027484750,0702,,0851,0000,300,E0060,50,00200,,,,,S,Simulation application continuation,U  N,,,24466,2007,SEEUP LBWNLBIIWN 1   110990RW09 N43134920E0275035800910N43140280E0274847500702 08510000300E00605000200                     ,SEEUP LBWNLBIIWN 1   2S    U  N                    09700N                              140                                 
S,EEU,P,LHBP,LH,I,BPL,2,10915,RW13L,N47251490,E019175040,1270,N47263880,E019154430,1163,,1215,0500,300,E0050,50,00499,,,,,S,Simulation application continuation,U  N,,,25187,2101,SEEUP LHBPLHIBPL 2   110915RW13LN47251490E0191750401270N47263880E0191544301163 12150500300E00505000499                     ,SEEUP LHBPLHIBPL 2   2S    U  N                    13200Y                              140                                 
S,EEU,P,LHBP,LH,I,BPR,3,10950,RW31R,N47265130,E019151470,3070,N47252560,E019172330,1165,,0972,0500,300,E0050,50,00431,,,,,S,Simulation application continuation,U  N,,,25189,2101,SEEUP LHBPLHIBPR 3   110950RW31RN47265130E0191514703070N47252560E0191723301165 09720500300E00505000431                     ,SEEUP LHBPLHIBPR 3   2S    U  N                    31200Y                              140                                 
S,EEU,P,LHBP,LH,I,FER,3,11050,RW13R,N47254130,E019151450,1270,N47265180,E019132990,1266,,1033,0500,300,E0050,50,00442,,,,,S,Simulation application continuation,U  N,,,25191,2101,SEEUP LHBPLHIFER 3   111050RW13RN47254130E0191514501270N47265180E0191329901266 10330500300E00505000442                     ,SEEUP LHBPLHIFER 3   2S    U  N                    13200Y                              140                                 
S,EEU,P,LHBP,LH,I,FHL,2,11150,RW31L,N47270230,E019130340,3070,N47255500,E019144300,1047,,1276,0500,300,E0050,50,00446,,,,,S,Simulation application continuation,U  N,,,25193,2101,SEEUP LHBPLHIFHL 2   111150RW31LN47270230E0191303403070N47255500E0191443001047 12760500300E00505000446                     ,SEEUP LHBPLHIFHL 2   2S    U  N                    31200Y                              140                                 
S,EEU,P,LHDC,LH,I,DCN,1,11010,RW04R,N47295350,E021374960,0420,N47290260,E021361860,0944,,1033,0000,300,E0060,55,00387,,,,,S,Simulation application continuation,U  N,,,25346,2401,SEEUP LHDCLHIDCN 1   111010RW04RN47295350E0213749600420N47290260E0213618600944 10330000300E00605500387                     ,SEEUP LHDCLHIDCN 1   2S    U  N                    04800N                              140                                 
S,EEU,P,LHKE,LH,I,KEE,1,10995,RW30,N46553050,E019435460,2980,N46544970,E019453720,1070,,1033,0500,300,E0050,56,00379,,,,,S,Simulation application continuation,U  N,,,25602,2106,SEEUP LHKELHIKEE 1   110995RW30 N46553050E0194354602980N46544970E0194537201070 10330500300E00505600379                     ,SEEUP LHKELHIKEE 1   2S    U  N                    30300N                              140                                 
S,EEU,P,LHKE,LH,I,KEW,1,11130,RW12,N46543650,E019455720,1180,N46552220,E019442350,0847,-,1094,0500,300,E0050,54,00381,,,,,S,Simulation application continuation,U  N,,,25604,2106,SEEUP LHKELHIKEW 1   111130RW12 N46543650E0194557201180N46552220E0194423500847-10940500300E00505400381                     ,SEEUP LHKELHIKEW 1   2S    U  N                    12300N                              140                                 
S,EEU,P,LHPA,LH,I,PCD,1,11035,RW34,N47223550,E017293830,3350,N47212180,E017301010,0920,,1033,0000,300,E0050,53,00486,,,,,S,Simulation application continuation,U  N,,,25965,2404,SEEUP LHPALHIPCD 1   111035RW34 N47223550E0172938303350N47212180E0173010100920 10330000300E00505300486                     ,SEEUP LHPALHIPCD 1   2S    U  N                    34000N                              140                                 
S,EEU,P,LHPA,LH,I,PCN,1,10855,RW16,N47210400,E017302630,1550,N47221910,E017295350,1045,,0972,0000,300,E0050,57,00476,,,,,S,Simulation application continuation,U  N,,,25967,2404,SEEUP LHPALHIPCN 1   110855RW16 N47210400E0173026301550N47221910E0172953501045 09720000300E00505700476                     ,SEEUP LHPALHIPCN 1   2S    U  N                    16000N                              140                                 
S,EEU,P,LHPP,LH,I,PCS,1,10835,RW33,N45595220,E018141330,3330,N45590530,E018143490,0939,,0911,0000,300,E0050,50,00640,,,,,S,Simulation application continuation,U  N,,,26079,2412,SEEUP LHPPLHIPCS 1   110835RW33 N45595220E0181413303330N45590530E0181434900939 09110000300E00505000640                     ,SEEUP LHPPLHIPCS 1   2S    U  N                    33800N                              140                                 
S,EEU,P,LHPR,LH,I,GPR,1,11135,RW29,N47380250,E017472480,2940,N47372780,E017484390,0853,,1094,0500,300,E0050,56,00426,,,,,S,Simulation application continuation,U  N,,,26226,2111,SEEUP LHPRLHIGPR 1   111135RW29 N47380250E0174724802940N47372780E0174843900853 10940500300E00505600426                     ,SEEUP LHPRLHIGPR 1   2S    U  N                    29900N                              140                                 
S,EEU,P,LHSM,LH,I,SMK,1,10875,RW16,N46402280,E017095090,1600,N46414060,E017092710,0946,,1094,0500,300,E0050,58,00443,,,,,S,Simulation application continuation,U  N,,,26355,2104,SEEUP LHSMLHISMK 1   110875RW16 N46402280E0170950901600N46414060E0170927100946 10940500300E00505800443                     ,SEEUP LHSMLHISMK 1   2S    U  N                    16500N                              140                                 
S,EEU,P,LHSN,LH,I,SZN,1,10955,RW20,N47064310,E020134590,1950,N47074420,E020141460,1013,,0972,0000,300,E0060,54,00315,,,,,S,Simulation application continuation,U  N,,,26546,2404,SEEUP LHSNLHISZN 1   110955RW20 N47064310E0201345901950N47074420E0201414601013 09720000300E00605400315                     ,SEEUP LHSNLHISZN 1   2S    U  N                    20100N                              140                                 
S,EEU,P,LHSN,LH,I,SZS,1,11075,RW02,N47080110,E020143030,0150,N47070290,E020135100,1001,,0972,0000,300,E0060,54,00325,,,,,S,Simulation application continuation,U  N,,,26548,2404,SEEUP LHSNLHISZS 1   111075RW02 N47080110E0201430300150N47070290E0201351001001 09720000300E00605400325                     ,SEEUP LHSNLHISZS 1   2S    U  N                    02100N                              140                                 
S,EEU,P,LKCS,LK,I,BW,1,11050,RW27,N48564691,E014241873,2650,N48564309,E014261315,1250,,0851,0500,300,E0050,50,01420,,,,,S,Simulation application continuation,U  U,,,26770,2510,SEEUP LKCSLKIBW  1   111050RW27 N48564691E0142418732650N48564309E0142613151250 08510500300E00505001420                     ,SEEUP LKCSLKIBW  1   2S    U  U                    27000N                              140                                 
S,EEU,P,LKCV,LK,I,CF,1,11175,RW31,N49565872,E015220297,3120,N49555761,E015232230,1073,,0851,0000,300,E0050,52,00854,,,,,S,Simulation application continuation,U  N,,,26896,2404,SEEUP LKCVLKICF  1   111175RW31 N49565872E0152202973120N49555761E0152322301073 08510000300E00505200854                     ,SEEUP LKCVLKICF  1   2S    U  N                    31700N                              140                                 
S,EEU,P,LKKB,LK,I,KD,1,10835,RW24,N50065760,E014313977,2370,N50072410,E014331210,0938,,0923,0000,300,E0050,53,00964,,,,,S,Simulation application continuation,U  N,,,27041,2403,SEEUP LKKBLKIKD  1   110835RW24 N50065760E0143139772370N50072410E0143312100938 09230000300E00505300964                     ,SEEUP LKKBLKIKD  1   2S    U  N                    24200N                              140                                 
S,EEU,P,LKKV,LK,I,KVY,1,11155,RW29,N50122537,E012540180,2880,N50120439,E012553343,0196,,0911,0500,300,E0050,54,02038,,,,,S,Simulation application continuation,U  N,,,27416,2501,SEEUP LKKVLKIKVY 1   111155RW29 N50122537E0125401802880N50120439E0125533430196 09110500300E00505402038                     ,SEEUP LKKVLKIKVY 1   2S    U  N                    29300N                              140                                 
S,EEU,P,LKMT,LK,I,OSV,3,11095,RW22,N49405577,E018051733,2200,N49421608,E018073568,1670,,0972,0000,300,E0060,54,00808,,,,,S,Simulation application continuation,U  N,,,27749,2412,SEEUP LKMTLKIOSV 3   111095RW22 N49405577E0180517332200N49421608E0180735681670 09720000300E00605400808                     ,SEEUP LKMTLKIOSV 3   2S    U  N                    22600N                              140                                 
S,EEU,P,LKNA,LK,I,LA,1,11135,RW30,N49103088,E016062720,3040,N49093633,E016075851,1267,,0972,0000,300,E0050,53,01555,,,,,S,Simulation application continuation,U  N,,,27934,2208,SEEUP LKNALKILA  1   111135RW30 N49103088E0160627203040N49093633E0160758511267 09720000300E00505301555                     ,SEEUP LKNALKILA  1   2S    U  N                    30900N                              140                                 
