record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EUR,D,,,,,CGS,LF,10920,DT,,,CGS,N43384290,E007084530,,00036,0,,329,WGE,CAGNES-SUR-MER,SEURD        CGS   LF110920 DT                     CGS N43384290E007084530     000360  329WGECAGNES-SUR-MER                ,S,Simulation application continuation,SEURD        CGS   LF2S    UU                                             E0030                                            
S,EUR,D,,,,,DID,ED,11790,DL,,,DID,N51170122,E006451648,,00126,1,,250,WGE,DUESSELDORF INTERIM,SEURD        DID   ED111790 DL                     DID N51170122E006451648     001261  250WGEDUESSELDORF INTERIM           ,S,Simulation application continuation,SEURD        DID   ED2S    UN                                             E0031                                            
S,EUR,D,,,,,GSY,EB,11570,VDHA,N50271410,E004262900,,N50271410,E004262900,E0010,00600,2,,275,WGE,GOSLY (CHARLEROI),SEURD        GSY   EB111570VDHA N50271410E004262900    N50271410E004262900E0010006002  275WGEGOSLY (CHARLEROI)             ,S,Simulation application continuation,SEURD        GSY   EB2S    UN                                             E0024                                            
S,EUR,D,,,,,LNE,EF,11230,VDH,N62251483,E025372403,,N62251483,E025372403,E0100,00696,2,,337,WGE,LUONET (JYVASKYLA),SEURD        LNE   EF111230VDH  N62251483E025372403    N62251483E025372403E0100006962  337WGELUONET (JYVASKYLA)            ,S,Simulation application continuation,SEURD        LNE   EF2S    UN                                             E011300696                                       
S,EUR,D,,,,,MTR,ED,11000,V HW,N50163459,E008505505,,,,E0020,,2,,,WGE,METRO,SEURD        MTR   ED111000V HW N50163459E008505505                       E0020     2     WGEMETRO                         ,S,Simulation application continuation,SEURD        MTR   ED2S    UN                                             E003600633                                       
S,EUR,D,,,,,ROI,EF,11770,VDH,N66334514,E025491347,,N66334514,E025491347,E0130,00661,2,,584,WGE,ROVANI (ROVANIEMI),SEURD        ROI   EF111770VDH  N66334514E025491347    N66334514E025491347E0130006612  584WGEROVANI (ROVANIEMI)            ,S,Simulation application continuation,SEURD        ROI   EF2S    UN                                             E013200661                                       
S,EUR,D,,EGCN,EG,,IFIN,EG,11095,ITDN,,,IFIN,N53282954,W001000714,,00049,0,07,111,WGE,DONCASTER SHEFFIELD,SEURD EGCNEG IFIN  EG111095 ITDN                   IFINN53282954W001000714     00049007111WGEDONCASTER SHEFFIELD           ,S,Simulation application continuation,SEURD EGCNEG IFIN  EG2S    UN                                             E000500049                                       
S,EUR,D,,EGCN,EG,,IFNL,EG,11095,ITDN,,,IFNL,N53282954,W001000714,,00049,0,07,111,WGE,DONCASTER SHEFFIELD,SEURD EGCNEG IFNL  EG111095 ITDN                   IFNLN53282954W001000714     00049007111WGEDONCASTER SHEFFIELD           ,S,Simulation application continuation,SEURD EGCNEG IFNL  EG2S    UN                                             E000500049                                       
S,EUR,D,,LFAQ,LF,,ABY,LF,10875,IT N,,,ABY,N49581850,E002421780,,00403,0,,112,WGE,BRAY,SEURD LFAQLF ABY   LF110875 IT N                   ABY N49581850E002421780     004030  112WGEBRAY                          ,S,Simulation application continuation,SEURD LFAQLF ABY   LF2S    UU                                             E001900403                                       
S,EUR,D,B,,,,AGO,LF,04040,H L,N45423860,E000253680,,,,E0010,,,,,WGE,ANGOULEME,SEURDB       AGO   LF104040H L  N45423860E000253680                       E0010           WGEANGOULEME                     ,S,Simulation application continuation,SEURDB       AGO   LF2S     U24                                                00456                                       
